年別,類型,觀光遊憩區,細分,縣市,縣市別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計
2018,國家公園,雪霸國家公園,武陵遊客中心,臺中市,66000,8193,32714,17022,13069,6592,10459,17682,29461,9010,8454,12310,13419,178385
2018,國家公園,墾丁國家公園,墾丁國家公園管理處遊客中心,屏東縣,10013,5806,9185,7043,10255,5151,7676,6722,6627,3806,5474,4436,7430,79611
2018,國家公園,墾丁國家公園,鵝鑾鼻公園,屏東縣,10013,39422,69925,53864,67362,57833,42673,66993,83150,39913,76939,58286,69846,726206
2018,國家公園,墾丁國家公園,貓鼻頭公園,屏東縣,10013,53133,69205,64893,60932,76733,39043,43640,59359,36404,53787,57964,65409,680502
2018,國家公園,墾丁國家公園,佳樂水,屏東縣,10013,6779,16057,18150,28510,10911,7844,14541,10661,8355,12020,8418,13460,155706
2018,國家公園,墾丁國家公園,社頂自然公園,屏東縣,10013,6595,8784,8505,10125,8198,5266,6361,3926,5912,10765,8396,10875,93708
2018,國家公園,墾丁國家公園,南灣遊憩區,屏東縣,10013,28186,27441,27639,42556,33018,28696,42398,35877,25017,18975,21335,25713,356851
2018,國家公園,墾丁國家公園,龍鑾潭自然中心,屏東縣,10013,5742,5904,6528,6926,4685,4422,3761,3336,4261,5574,4270,8281,63690
2018,國家公園,墾丁國家公園,砂島貝殼砂展示館,屏東縣,10013,9606,23171,8626,12009,10952,10490,14230,13275,12720,17315,12325,16130,160849
2018,國家公園,太魯閣國家公園,太魯閣國家公園遊客中心,花蓮縣,10015,66469,45114,49641,74514,66291,69121,85304,96049,61888,69611,75196,82510,841708
2018,國家公園,太魯閣國家公園,布洛灣遊憩區,花蓮縣,10015,17709,8341,13140,16475,16315,22856,23519,28010,13976,21978,20223,20204,222746
2018,國家公園,太魯閣國家公園,臺八線沿線景觀區,花蓮縣,10015,193605,132130,129927,211046,221065,262122,394427,408119,248751,297595,289202,316288,3104277
2018,國家公園,金門國家公園,中山林遊客中心,金門縣,09020,10576,10594,13122,12930,13441,12129,14024,13812,12075,11674,10530,11810,146717
2018,國家公園,金門國家公園,翟山坑道,金門縣,09020,25779,26746,37485,50047,50867,48280,55786,59556,40764,53449,43304,48084,540147
2018,國家公園,金門國家公園,雙鯉溼地自然中心,金門縣,09020,6193,6974,9812,13403,15588,14748,16469,14501,11500,15546,10585,10113,145432
2018,國家公園,金門國家公園,古寧頭戰史館,金門縣,09020,9172,9695,15947,19961,22518,22876,25681,23927,18597,23145,15851,14804,222174
2018,國家公園,金門國家公園,九宮(四維)坑道,金門縣,09020,3915,4176,8137,12538,14917,13905,17636,14533,11055,14136,9920,8214,133082
2018,國家公園,金門國家公園,八二三砲戰紀念館,金門縣,09020,6496,7183,12731,15144,15503,14364,17852,16257,11803,17941,12294,12575,160143
2018,國家公園,金門國家公園,湖井頭戰史館,金門縣,09020,4750,4977,9432,13879,15806,14531,18510,15557,12619,15659,10693,9384,145797
2018,國家公園,金門國家公園,金水學校,金門縣,09020,12497,13048,14963,23015,23719,20631,25558,27571,21753,27772,22151,22168,254846
2018,國家公園,金門國家公園,蔣經國先生紀念館,金門縣,09020,11108,11531,18203,20960,20089,17598,19062,20226,15306,20831,20410,22539,217863
2018,國家公園,金門國家公園,民俗文化村,金門縣,09020,15024,16368,25085,30789,32237,30933,32132,31906,24156,32876,26277,26536,324319
2018,國家公園,金門國家公園,得月樓,金門縣,09020,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,國家級風景特定區,東北角暨宜蘭海岸國家風景區,鼻頭港服務區,新北市,65000,3989,8650,9621,13198,12666,11611,12372,11887,9428,11270,15830,6832,127354
2018,國家級風景特定區,東北角暨宜蘭海岸國家風景區,龍洞灣公園,新北市,65000,1421,2690,2396,3710,4349,7459,15077,11489,5357,1901,2238,1641,59728
2018,國家級風景特定區,東北角暨宜蘭海岸國家風景區,龍洞南口海洋公園,新北市,65000,255,568,644,1047,3499,4447,11918,10638,2812,1587,539,571,38525
2018,國家級風景特定區,東北角暨宜蘭海岸國家風景區,福隆遊客服務中心,新北市,65000,29655,20111,14273,28016,52397,74264,181355,94815,60929,27465,49784,35157,668221
2018,國家級風景特定區,東北角暨宜蘭海岸國家風景區,大里遊客服務中心,宜蘭縣,10002,30114,74116,21121,33140,26987,35678,18889,28433,28446,35838,139462,35101,507325
2018,國家級風景特定區,東北角暨宜蘭海岸國家風景區,龍門露營區,新北市,65000,1283,1543,2600,4507,4101,3610,3736,3686,5307,7817,3689,24193,66072
2018,國家級風景特定區,東北角暨宜蘭海岸國家風景區,鹽寮海濱公園,新北市,65000,1510,1911,3193,6416,8114,5518,6855,4951,5369,6278,5326,4753,60194
2018,國家級風景特定區,東北角暨宜蘭海岸國家風景區,鼻頭角步道,新北市,65000,4806,5241,3381,4725,3009,5220,7238,6303,4417,5523,7530,4520,61913
2018,國家級風景特定區,東北角暨宜蘭海岸國家風景區,舊草嶺隧道,新北市,65000,17539,18077,19265,35887,31607,22428,34247,27634,20536,23238,28588,17780,296826
2018,國家級風景特定區,東北角暨宜蘭海岸國家風景區,草嶺古道系統(含遠望坑親水公園),新北市,65000,28749,61419,57798,49128,38549,62298,33195,33321,32741,44699,248736,35278,725911
2018,國家級風景特定區,東北角暨宜蘭海岸國家風景區,北關海潮公園,宜蘭縣,10002,31682,13600,11550,15692,12741,10791,12038,29860,17740,12970,25428,11043,205135
2018,國家級風景特定區,東北角暨宜蘭海岸國家風景區,龜山島海域遊憩區,宜蘭縣,10002,0,0,5523,16027,21881,19038,21720,16471,7348,9108,4495,0,121611
